,date,home_team,home_score,away_score,away_team,neutral
311,2010-10-28,Atlético-GO,1,1,Ceará,False
312,2010-10-28,Fluminense,2,0,Grêmio,False
313,2010-10-28,São Paulo,2,1,Atlético-PR,False
314,2010-10-30,Palmeiras,3,2,Goiás,False
315,2010-10-30,Prudente,0,2,Cruzeiro,False
316,2010-10-30,Atlético-MG,0,2,Botafogo,False
317,2010-10-30,Internacional,1,1,Santos,False
318,2010-10-30,Vitória,4,2,Vasco da Gama,False
319,2010-10-30,Avaí,1,0,Guarani,False
320,2010-11-03,Corinthians,4,0,Avaí,False
321,2010-11-03,Santos,1,1,Vitória,False
322,2010-11-03,Botafogo,3,2,Atlético-GO,False
323,2010-11-03,Guarani,0,0,Atlético-MG,False
324,2010-11-03,Cruzeiro,0,2,São Paulo,False
325,2010-11-03,Internacional,0,0,Fluminense,False
326,2010-11-03,Goiás,0,2,Grêmio,False
327,2010-11-03,Ceará,2,2,Flamengo,False
328,2010-11-04,Vasco da Gama,2,1,Prudente,False
329,2010-11-04,Atlético-PR,1,0,Palmeiras,False
330,2010-11-06,Grêmio,5,1,Ceará,False
331,2010-11-06,Atlético-GO,2,2,Internacional,False
332,2010-11-06,Atlético-MG,2,2,Santos,False
333,2010-11-07,São Paulo,0,2,Corinthians,False
334,2010-11-07,Palmeiras,1,0,Guarani,False
335,2010-11-07,Flamengo,0,1,Atlético-PR,False
336,2010-11-07,Fluminense,1,0,Vasco da Gama,False
337,2010-11-07,Prudente,4,1,Goiás,False
338,2010-11-07,Vitória,0,1,Cruzeiro,False
339,2010-11-07,Avaí,0,0,Botafogo,False
340,2010-11-10,Ceará,2,2,Botafogo,False
341,2010-11-13,Corinthians,1,0,Cruzeiro,False
342,2010-11-13,Santos,0,0,Grêmio,False
343,2010-11-13,Atlético-MG,4,1,Flamengo,False
344,2010-11-14,Vasco da Gama,1,1,São Paulo,False
345,2010-11-14,Fluminense,1,1,Goiás,False
346,2010-11-14,Guarani,1,1,Vitória,False
347,2010-11-14,Internacional,2,3,Avaí,False
348,2010-11-14,Atlético-GO,3,0,Palmeiras,False
349,2010-11-14,Atlético-PR,2,1,Prudente,False
350,2010-11-20,Grêmio,3,1,Atlético-PR,False
351,2010-11-20,Prudente,1,1,Ceará,False
