,date,home_team,home_score,away_score,away_team,neutral,knockout,category
244,1996-11-16,Vasco da Gama,4,2,Criciuma,False,False,first
245,1996-11-16,Palmeiras,2,0,Atletico MG,False,False,first
246,1996-11-16,Portuguesa,1,2,Internacional,False,False,first
247,1996-11-17,Santos,3,2,Atletico PR,False,False,first
248,1996-11-16,Vitoria,0,1,Guarani,False,False,first
249,1996-11-17,Parana,2,1,Bahia,False,False,first
250,1996-11-17,Gremio,0,2,Coritiba,False,False,first
251,1996-11-16,Cruzeiro,3,1,Sport,False,False,first
252,1996-11-20,Criciuma,2,0,Flamengo,False,False,first
253,1996-11-20,Fluminense,1,0,Juventude,False,False,first
254,1996-11-20,Botafogo,3,3,Vitoria,False,False,first
255,1996-11-20,Bahia,3,2,Vasco da Gama,False,False,first
256,1996-11-20,Guarani,1,0,Palmeiras,False,False,first
257,1996-11-20,Internacional,2,0,Corinthians,False,False,first
258,1996-11-20,Sao Paulo,1,0,Cruzeiro,False,False,first
259,1996-11-20,Coritiba,4,0,Portuguesa,False,False,first
260,1996-11-20,Santos,0,3,Parana,False,False,first
261,1996-11-20,Goias,3,0,Bragantino,False,False,first
262,1996-11-20,Atletico MG,3,2,Atletico PR,False,False,first
263,1996-11-20,Sport,1,0,Gremio,False,False,first
264,1996-11-24,Flamengo,0,1,Bahia,False,False,first
265,1996-11-24,Vitoria,1,3,Fluminense,False,False,first
266,1996-11-24,Portuguesa,4,1,Botafogo,False,False,first
267,1996-11-24,Vasco da Gama,0,2,Guarani,False,False,first
268,1996-11-24,Palmeiras,4,1,Sport,False,False,first
269,1996-11-24,Corinthians,1,1,Coritiba,False,False,first
270,1996-11-24,Parana,1,1,Sao Paulo,False,False,first
271,1996-11-24,Cruzeiro,2,1,Santos,False,False,first
272,1996-11-24,Bragantino,1,0,Internacional,False,False,first
273,1996-11-24,Atletico PR,1,2,Criciuma,False,False,first
274,1996-11-24,Juventude,1,0,Atletico MG,False,False,first
275,1996-11-24,Gremio,1,3,Goias,False,False,first
276,1996-11-27,Portuguesa,3,0,Cruzeiro,False,False,quarter
277,1996-11-24,Cruzeiro,1,0,Portuguesa,False,False,quarter
278,1996-11-27,Goiás,3,1,Guarani,False,False,quarter
