date,home_team,home_score,away_score,away_team,neutral,knockout,category
1994-10-29,Botafogo,2,5,Sport,False,False,second
1994-10-30,São Paulo,2,2,Palmeiras,False,False,second
1994-10-30,Flamengo,0,1,Bahia,False,False,second
1994-10-30,Santos,1,0,Paraná,False,False,second
1994-11-02,Paraná,0,0,Corinthians,False,False,second
1994-11-02,Paysandu,0,1,Santos,False,False,second
1994-11-02,Bahia,1,1,Fluminense,False,False,second
1994-11-02,Portuguesa-SP,3,0,Flamengo,False,False,second
1994-11-02,Palmeiras,0,1,Guarani,False,False,second
1994-11-03,Internacional,1,0,Sport,False,False,second
1994-11-03,Vasco da Gama,2,0,São Paulo,False,False,second
1994-11-28,Botafogo,1,0,Grêmio,False,False,second
1994-11-05,Fluminense,4,1,Palmeiras,False,False,second
1994-11-05,Santos,3,0,Vasco da Gama,False,False,second
1994-11-05,Grêmio,1,3,Paraná,False,False,second
1994-11-06,São Paulo,4,0,Paysandu,False,False,second
1994-11-06,Corinthians,0,2,Botafogo,False,False,second
1994-11-06,Flamengo,1,2,Internacional,False,False,second
1994-11-06,Guarani,2,0,Bahia,False,False,second
1994-11-06,Sport,0,3,Portuguesa-SP,False,False,second
1994-11-08,Grêmio,1,1,Palmeiras,False,False,second
1994-11-09,São Paulo,0,2,Portuguesa-SP,False,False,second
1994-11-09,Sport,0,0,Vasco da Gama,False,False,second
1994-11-09,Santos,1,0,Internacional,False,False,second
1994-11-09,Fluminense,2,2,Botafogo,False,False,second
1994-11-09,Corinthians,2,2,Bahia,False,False,second
1994-11-09,Guarani,4,1,Paraná,False,False,second
1994-11-10,Flamengo,0,0,Paysandu,False,False,second
1994-11-12,Internacional,0,1,São Paulo,False,False,second
1994-11-12,Portuguesa-SP,0,0,Santos,False,False,second
1994-11-12,Paraná,4,1,Fluminense,False,False,second
1994-11-13,Vasco da Gama,1,1,Flamengo,False,False,second
1994-11-13,Palmeiras,4,1,Corinthians,False,False,second
1994-11-13,Botafogo,1,1,Guarani,False,False,second
1994-11-13,Paysandu,1,1,Sport,False,False,second
1994-11-13,Bahia,2,0,Grêmio,False,False,second
1994-11-16,Flamengo,0,3,Fluminense,False,False,second
1994-11-16,São Paulo,3,1,Grêmio,False,False,second
1994-11-16,Paysandu,0,1,Botafogo,False,False,second
1994-11-16,Internacional,0,0,Bahia,False,False,second
1994-11-16,Sport,0,2,Guarani,False,False,second
1994-11-16,Santos,1,2,Corinthians,False,False,second
1994-11-17,Portuguesa-SP,3,1,Palmeiras,False,False,second
1994-11-28,Vasco da Gama,1,0,Paraná,False,False,second
1994-11-19,Grêmio,0,1,Flamengo,False,False,second
1994-11-19,Guarani,1,0,São Paulo,False,False,second
1994-11-20,Botafogo,5,2,Portuguesa-SP,False,False,second
1994-11-20,Fluminense,0,1,Santos,False,False,second
1994-11-20,Corinthians,0,3,Sport,False,False,second
1994-11-20,Palmeiras,3,0,Vasco da Gama,False,False,second
1994-11-20,Bahia,3,0,Paysandu,False,False,second
1994-11-20,Paraná,0,0,Internacional,False,False,second
1994-11-23,Corinthians,1,2,São Paulo,False,False,second
1994-11-23,Grêmio,1,0,Santos,False,False,second
1994-11-23,Paraná,1,0,Paysandu,False,False,second
1994-11-23,Guarani,0,0,Flamengo,False,False,second
1994-11-23,Fluminense,1,0,Sport,False,False,second
1994-11-23,Palmeiras,1,1,Internacional,False,False,second
1994-11-23,Bahia,2,1,Portuguesa-SP,False,False,second
1994-11-23,Botafogo,0,0,Vasco da Gama,False,False,second
1994-11-26,Santos,3,0,Guarani,False,False,second
1994-11-26,Internacional,0,1,Botafogo,False,False,second
1994-11-27,Paysandu,1,0,Palmeiras,False,False,second
1994-11-27,Portuguesa-SP,2,0,Paraná,False,False,second
1994-11-27,Vasco da Gama,0,0,Bahia,False,False,second
1994-11-27,Sport,1,2,Grêmio,False,False,second
1994-11-27,São Paulo,4,2,Fluminense,False,False,second
1994-11-27,Flamengo,2,0,Corinthians,False,False,second
1994-10-02,Vitória,2,0,Náutico,False,False,relegation
